date,year,month,airline,published_airline,iata_code,geo_summary,geo_region,price_category,terminal,boarding_area,passenger_count
1999-07-01,1999,7,US Airways,US Airways,US,Domestic,US,Other,Terminal 1,A,55228
1999-07-01,1999,7,US Airways,US Airways,US,Domestic,US,Low Fare,Terminal 1,B,31947
1999-07-01,1999,7,United Airlines,United Airlines,UA,Domestic,US,Other,Terminal 1,B,67479
1999-07-01,1999,7,United Airlines,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,Terminal 3,E,54936
1999-07-01,1999,7,United Airlines,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,Terminal 3,F,792965
1999-07-01,1999,7,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Asia,Other,International,G,47487
1999-07-01,1999,7,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Other,International,G,8977
1999-07-01,1999,7,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Canada,Other,International,G,15873
1999-07-01,1999,7,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Canada,Other,Terminal 3,F,7495
1999-07-01,1999,7,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Europe,Other,International,G,16271
1999-07-01,1999,7,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Mexico,Other,International,G,3994
1999-07-01,1999,7,Virgin Atlantic,Virgin Atlantic,VS,International,Europe,Other,Terminal 2,D,11039
1999-08-01,1999,8,ATA Airlines,ATA Airlines,TZ,Domestic,US,Low Fare,Terminal 1,B,32551
1999-08-01,1999,8,Aeroflot Russian International Airlines,Aeroflot Russian International Airlines,,International,Europe,Other,Terminal 2,D,1252
1999-08-01,1999,8,Air Canada,Air Canada,AC,International,Canada,Other,Terminal 1,B,24808
1999-08-01,1999,8,Air China,Air China,CA,International,Asia,Other,Terminal 2,D,4050
1999-08-01,1999,8,Air Europe,Air Europe,PE,International,Europe,Other,Terminal 2,D,398
1999-08-01,1999,8,Air France,Air France,AF,International,Europe,Other,Terminal 2,D,9537
1999-08-01,1999,8,Alaska Airlines,Alaska Airlines,AS,Domestic,US,Other,Terminal 2,D,61755
1999-08-01,1999,8,Alaska Airlines,Alaska Airlines,AS,International,Canada,Other,Terminal 2,D,8560
1999-08-01,1999,8,Alaska Airlines,Alaska Airlines,AS,International,Mexico,Other,Terminal 2,D,6939
1999-08-01,1999,8,Alitalia Airlines,Alitalia Airlines,AZ,International,Europe,Other,Terminal 2,D,5219
1999-08-01,1999,8,ANA,"All Nippon Company Airways, Ltd.",NH,International,Asia,Other,Terminal 2,D,4295
1999-08-01,1999,8,American Airlines,American Airlines,AA,Domestic,US,Other,Terminal 3,E,118524
1999-08-01,1999,8,Asiana Airlines,Asiana Airlines,OZ,International,Asia,Other,Terminal 2,D,3847
1999-08-01,1999,8,British Airways,British Airways,BA,International,Europe,Other,Terminal 2,D,22820
1999-08-01,1999,8,Canadian Airlines,Canadian Airlines,CP,International,Canada,Other,Terminal 3,E,5935
1999-08-01,1999,8,Cathay Pacific,Cathay Pacific,CX,International,Asia,Other,Terminal 2,D,6529
1999-08-01,1999,8,Champion Air,Champion Air,MG,Domestic,US,Other,Terminal 1,A,1285
1999-08-01,1999,8,China Airlines,China Airlines,CI,International,Asia,Other,Terminal 2,D,9471
1999-08-01,1999,8,China Eastern,"China Eastern Airlines, Inc",,International,Asia,Other,Terminal 2,D,2119
1999-08-01,1999,8,Delta Air Lines,Delta Air Lines,DL,Domestic,US,Other,Terminal 1,C,116837
1999-08-01,1999,8,EVA Airways,EVA Airways,BR,International,Asia,Other,Terminal 2,D,10987
1999-08-01,1999,8,Finnair,Finnair,AY,International,Europe,Other,Terminal 2,D,3493
1999-08-01,1999,8,Frontier Airlines,Frontier Airlines,F9,Domestic,US,Low Fare,Terminal 1,B,9968
1999-08-01,1999,8,Hawaiian Airlines,Hawaiian Airlines,HA,Domestic,US,Other,Terminal 1,C,8012
1999-08-01,1999,8,Japan Airlines,Japan Airlines,JL,International,Asia,Other,Terminal 2,D,9984
1999-08-01,1999,8,KLM Royal Dutch Airlines,KLM Royal Dutch Airlines,KL,International,Europe,Other,Terminal 2,D,8295
1999-08-01,1999,8,Korean Air Lines,Korean Air Lines,KE,International,Asia,Other,Terminal 2,D,7804
1999-08-01,1999,8,Lufthansa German Airlines,Lufthansa German Airlines,LH,International,Europe,Other,Terminal 2,D,22984
1999-08-01,1999,8,Mexicana Airlines,Mexicana Airlines,MX,International,Mexico,Other,Terminal 2,D,15765
1999-08-01,1999,8,Midwest Airlines,Midwest Airlines,YX,Domestic,US,Other,Terminal 1,B,3129
1999-08-01,1999,8,National Airlines,National Airlines,N7,Domestic,US,Other,Terminal 1,B,7807
1999-08-01,1999,8,Northwest Airlines (became Delta),Northwest Airlines (became Delta),NW,Domestic,US,Other,Terminal 1,C,80787
1999-08-01,1999,8,Northwest Airlines (became Delta),Northwest Airlines (became Delta),NW,International,Asia,Other,Terminal 2,D,9795
1999-08-01,1999,8,Philippine Airlines,Philippine Airlines,PR,International,Asia,Other,Terminal 2,D,6527
1999-08-01,1999,8,Ryan International Airlines,Ryan International Airlines,RD,Domestic,US,Other,Terminal 2,D,16751
1999-08-01,1999,8,Ryan International Airlines,Ryan International Airlines,RD,International,Europe,Other,Terminal 2,D,6694
1999-08-01,1999,8,Singapore Airlines,Singapore Airlines,SQ,International,Asia,Other,Terminal 2,D,15546
1999-08-01,1999,8,SkyWest Airlines,Delta Air Lines,DL,Domestic,US,Other,Terminal 1,C,2180
1999-08-01,1999,8,SkyWest Airlines,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,Terminal 3,F,46152
1999-08-01,1999,8,Sobelair Airlines,Sobelair Airlines,,International,Europe,Other,Terminal 2,D,778
1999-08-01,1999,8,Southwest Airlines,Southwest Airlines,WN,Domestic,US,Low Fare,Terminal 1,A,38050
1999-08-01,1999,8,Sun Country Airlines,Sun Country Airlines,SY,Domestic,US,Low Fare,Terminal 3,E,2823
1999-08-01,1999,8,Swissair,Swissair,SR,International,Europe,Other,Terminal 2,D,4727
1999-08-01,1999,8,"TACA International Airlines, S.A.","TACA International Airlines, S.A.",TA,International,Central America,Other,Terminal 2,D,3542
1999-08-01,1999,8,TWA,TWA,TW,Domestic,US,Other,Terminal 1,B,37573
